69,error,17,CHUNYAXNIC YAXCHEIL,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 49 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],28430619.1740,28430619.1740,,
70,error,60,CINCO DE FEBRERO,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 50 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],296153456.5285,296153456.5285,,
71,error,17,CONCEPCION,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 51 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],187785761.7782,187785761.7782,,
72,error,10,CONCEPCION,ejido,4,2502,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 52 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],65417390.1565,65417390.1565,,
73,error,16,CONHUAS,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 53 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],21323180.6637,21323180.6637,,
74,error,16,CONHUAS,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 53 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],563612257.7325,563612257.7325,,
75,error,14,CONSTITUCION,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 54 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],273938574.5380,273938574.5380,,
76,error,14,CONSTITUCION,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 54 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],19439253.6809,19439253.6809,,
77,error,1,CORONEL JOSE ORTIZ AVILA,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 55 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],26880716.3558,26880716.3558,,
78,error,14,CORTE DE PAJARAL,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 56 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],25277221.2759,25277221.2759,,
79,error,31,CRUCERO DE SAN LUIS,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 57 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],57800945.3641,57800945.3641,,
80,error,17,CUAUHTEMOC,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 58 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],28323434.0477,28323434.0477,,
81,error,18,DON SAMUEL,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 59 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],176755589.2488,176755589.2488,,
82,error,57,DOS NACIONES,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 60 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],28905674.0134,28905674.0134,,
83,error,50,DZACABUCHEN,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 61 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],55288725.2426,55288725.2426,,
84,error,1,DZIBALCHEN,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 62 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],107986602.3399,107986602.3399,,
85,error,41,DZITBALCHE  CASTELLOT,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 63 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],47658523.9400,47658523.9400,,
86,error,6,DZITNUP,ejido,4,2506,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 64 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],19166881.6690,19166881.6690,,
87,error,10,DZOCCHEN,ejido,4,2506,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 65 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],11297186.8816,11297186.8816,,
88,error,3,DZOTZIL,ejido,4,2506,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 66 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],47685574.9170,47685574.9170,,
89,error,116,EL AGUACATAL,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 67 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],2497571.4679,2497571.4679,,
90,error,116,EL AGUACATAL,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 67 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],1433034.2825,1433034.2825,,
91,error,116,EL AGUACATAL,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 67 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],43623849.2581,43623849.2581,,
92,error,116,EL AGUACATAL,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 67 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],19205600.3239,19205600.3239,,
93,error,7,EL CAÑAVERAL,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 68 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],39595235.6519,39595235.6519,,
94,error,53,EL CENTENARIO,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 69 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],350065001.9906,350065001.9906,,
95,error,53,EL CENTENARIO,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 69 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],901800.4989,901800.4989,,
96,error,23,EL CHICHONAL,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 70 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],26293145.3400,26293145.3400,,
97,error,54,EL CHILAR,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 71 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],31612674.7928,31612674.7928,,
98,error,37,EL DESENGAÑO,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 72 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],53427539.9140,53427539.9140,,
99,error,46,EL ESFUERZO DE JUAN ESCUTIA,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 73 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],8916757.9856,8916757.9856,,
100,error,19,EL GALLO,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 74 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],11153747.3141,11153747.3141,,
101,error,20,EL HUIRO,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 75 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],20031920.9940,20031920.9940,,
102,error,58,EL JOBAL,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 76 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],5002877.1274,5002877.1274,,
103,error,1,EL LECHUGAL,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 77 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],276581959.4424,276581959.4424,,
104,error,16,EL MACHETAZO,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 78 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],21045792.2721,21045792.2721,,
105,error,20,EL MAMEY,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 79 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],24824268.2829,24824268.2829,,
106,error,29,EL MANANTIAL,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 80 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],49805486.5104,49805486.5104,,
107,error,3,EL NARANJO,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 81 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],1913357.4834,1913357.4834,,
108,error,3,EL NARANJO,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 81 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],97228193.8625,97228193.8625,,
109,error,3,EL NARANJO,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 81 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],15353906.9801,15353906.9801,,
110,error,35,EL PARAISO,ejido,4,2503,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 82 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],20373437.1339,20373437.1339,,
111,error,49,EL PEDREGAL,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 83 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],25279208.6649,25279208.6649,,
112,error,49,EL PEDREGAL,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 83 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],30234931.7958,30234931.7958,,
113,error,104,EL PITAL,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 84 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],3502409.5501,3502409.5501,,
114,error,104,EL PITAL,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 84 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],5079464.1102,5079464.1102,,
115,error,104,EL PITAL,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 84 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],35026664.6875,35026664.6875,,
116,error,55,EL POCITO,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 85 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],24203397.0701,24203397.0701,,
117,error,22,EL PORVENIR,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 86 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],13628372.9094,13628372.9094,,
118,error,21,EL POSTE,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 87 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],19335667.3257,19335667.3257,,
119,error,110,EL QUEBRACHE.,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 88 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],11218905.8804,11218905.8804,,
120,error,26,EL RAMONAL,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 89 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],28792819.2496,28792819.2496,,
121,error,50,EL REFUGIO,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 90 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],27908111.7525,27908111.7525,,
122,error,115,EL SACRIFICIO,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 91 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],10729302.2584,10729302.2584,,
123,error,48,EL TESORO,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 92 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],50382879.3091,50382879.3091,,
124,error,39,EL TIGRE,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 93 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],12334774.0715,12334774.0715,,
125,error,35,EL TULIPAN,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 94 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],23458396.5657,23458396.5657,,
126,error,90,EL ZAPOTE,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 95 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],29855180.1776,29855180.1776,,
127,error,19,EMILIANO ZAPATA,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 96 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],80449001.6353,80449001.6353,,
128,error,7,EMILIANO ZAPATA,ejido,4,2509,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 97 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],54902071.5082,54902071.5082,,
129,error,97,ENRIQUE RODRIGUEZ CANO,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 98 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],23475203.2543,23475203.2543,,
130,error,9,ESCARCEGA,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 99 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],199042117.6030,199042117.6030,,
131,error,42,ESPERANZA,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 100 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],40496688.6314,40496688.6314,,
132,error,25,ESTRELLA DEL SUR,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 101 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],22311876.5044,22311876.5044,,
133,error,107,FELIPE ANGELES,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 102 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],35627375.3727,35627375.3727,,
134,error,45,FELIPE CARRILLO PUERTO,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 103 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],438363579.6226,438363579.6226,,
135,error,87,FERNANDO FOGLIO M.,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 104 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],22298673.1923,22298673.1923,,
136,error,34,FLOR DE CHIAPAS,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 105 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],9173044.2809,9173044.2809,,
137,error,52,FLOR DE CHIAPAS,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 106 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],26157095.3574,26157095.3574,,
138,error,34,FLOR DE CHIAPAS,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 105 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],15683802.2166,15683802.2166,,
139,error,53,FLORES MAGON,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 107 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],72782117.5170,72782117.5170,,
140,error,26,FRANCISCO I. MADERO,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 108 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],37953398.2057,37953398.2057,,
141,error,31,FRANCISCO I. MADERO NO. 2,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 109 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],25611982.7849,25611982.7849,,
142,error,5,FRANCISCO J. MUJICA,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 110 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],2179127.0441,2179127.0441,,
143,error,5,FRANCISCO J. MUJICA,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 110 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],10555165.9937,10555165.9937,,
144,error,84,GENERALISIMO MORELOS,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 111 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],7834129.5131,7834129.5131,,
